candidate_id,name,party,city,1270,1275,1277,1278,1279,1280,1281,1285,1287,1288,1289,1290,1292,1293,1294,1295,1298,1299,1300,1301,1304,1305,1306,1307,1308
2,Anders Havelund Krøyer,Det Konservative Folkeparti,Vedbæk,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0
3,Anders Krojgaard Lund,Det Konservative Folkeparti,Horsens,2.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,5.0
5,Anne Fiber,Det Konservative Folkeparti,Langeskov,2.0,2.0,5.0,4.0,4.0,1.0,1.0,2.0,5.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0
7,Birgitte Bergman,Det Konservative Folkeparti,Snekkersten,1.0,2.0,5.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0
8,Bjørn Jensen,Det Konservative Folkeparti,Thorsager,2.0,2.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0
11,Caroline Svejsø,Det Konservative Folkeparti,Vejlby-Risskov,2.0,2.0,4.0,5.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0
13,Charlotte Green,Det Konservative Folkeparti,Hinnerup,1.0,1.0,5.0,4.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0
14,Christian Vigilius,Det Konservative Folkeparti,Gentofte,1.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0
16,Dan Arnløv,Det Konservative Folkeparti,VEJLE,2.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0
17,Dina Andersen-Raabjerg,Det Konservative Folkeparti,Ikast-Brande,4.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0
18,Dorte Vilhelmsen,Det Konservative Folkeparti,Herlev,2.0,2.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,5.0
19,Egil Hulgaard,Det Konservative Folkeparti,Værløse,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0
20,Emma Juul Hansen,Det Konservative Folkeparti,Vanløse ,1.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
21,Frederik Bloch Münster,Det Konservative Folkeparti,Esbjerg ,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0
22,Frederik Germann,Det Konservative Folkeparti,Frederiksværk,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0,1.0,5.0
23,Gitte Eriksen,Det Konservative Folkeparti,Ny Højen,1.0,2.0,5.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,1.0,1.0,4.0,5.0
24,Gorm Hoff Lauridsen,Det Konservative Folkeparti,"Gjellerup, Herning",1.0,1.0,5.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,5.0
25,Helene Fagerhøj,Det Konservative Folkeparti,København,2.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0
